,month,GEOID,tripcount,NTACode,month_count
352,4,36047008000.0,4,BK32,60463.0
353,4,36047008200.0,3,BK32,60463.0
354,4,36047008400.0,6,BK32,60463.0
355,4,36047008500.0,1,BK33,60463.0
356,4,36047008800.0,2,BK34,60463.0
357,4,36047009200.0,2,BK34,60463.0
358,4,36047009400.0,1,BK34,60463.0
359,4,36047009600.0,1,BK34,60463.0
360,4,36047010100.0,8,BK32,60463.0
361,4,36047011400.0,3,BK88,60463.0
362,4,36047011700.0,24,BK37,60463.0
363,4,36047011800.0,1,BK34,60463.0
364,4,36047011900.0,48,BK37,60463.0
365,4,36047012000.0,2,BK34,60463.0
366,4,36047012100.0,37,BK37,60463.0
367,4,36047012200.0,1,BK32,60463.0
368,4,36047012700.0,36,BK38,60463.0
369,4,36047012901.0,19,BK37,60463.0
370,4,36047012902.0,27,BK37,60463.0
371,4,36047013000.0,4,BK31,60463.0
372,4,36047013100.0,45,BK37,60463.0
373,4,36047013300.0,23,BK37,60463.0
374,4,36047013400.0,3,BK31,60463.0
375,4,36047013500.0,39,BK37,60463.0
376,4,36047013600.0,2,BK31,60463.0
377,4,36047013700.0,34,BK37,60463.0
378,4,36047013800.0,4,BK31,60463.0
379,4,36047013900.0,19,BK37,60463.0
380,4,36047014000.0,3,BK30,60463.0
381,4,36047014100.0,37,BK37,60463.0
382,4,36047014200.0,1,BK31,60463.0
383,4,36047014300.0,20,BK37,60463.0
384,4,36047014500.0,12,BK32,60463.0
385,4,36047014700.0,12,BK32,60463.0
386,4,36047014900.0,48,BK37,60463.0
387,4,36047015000.0,2,BK30,60463.0
388,4,36047015100.0,25,BK37,60463.0
389,4,36047015200.0,2,BK30,60463.0
390,4,36047015300.0,14,BK37,60463.0
391,4,36047015500.0,44,BK37,60463.0
392,4,36047015700.0,37,BK37,60463.0
393,4,36047015900.0,47,BK37,60463.0
394,4,36047016000.0,4,BK31,60463.0
395,4,36047016100.0,78,BK64,60463.0
396,4,36047016300.0,48,BK64,60463.0
397,4,36047016500.0,49,BK37,60463.0
398,4,36047016600.0,1,BK30,60463.0
399,4,36047016700.0,27,BK37,60463.0
400,4,36047016800.0,1,BK27,60463.0
401,4,36047016900.0,10,BK40,60463.0
402,4,36047017000.0,2,BK27,60463.0
403,4,36047017100.0,13,BK40,60463.0
404,4,36047017200.0,1,BK27,60463.0
405,4,36047017400.0,1,BK27,60463.0
406,4,36047017500.0,5,BK99,60463.0
407,4,36047017700.0,21,BK99,60463.0
408,4,36047017900.0,13,BK68,60463.0
409,4,36047018100.0,111,BK68,60463.0
410,4,36047018300.0,64,BK68,60463.0
411,4,36047018501.0,11,BK68,60463.0
412,4,36047018700.0,27,BK68,60463.0
413,4,36047019100.0,96,BK69,60463.0
414,4,36047019200.0,4,BK88,60463.0
415,4,36047019300.0,35,BK69,60463.0
416,4,36047019500.0,61,BK69,60463.0
417,4,36047019700.0,69,BK69,60463.0
418,4,36047019800.0,2,BK30,60463.0
419,4,36047019900.0,52,BK69,60463.0
420,4,36047020000.0,1,BK30,60463.0
421,4,36047020100.0,52,BK69,60463.0
422,4,36047020300.0,41,BK64,60463.0
423,4,36047020400.0,6,BK30,60463.0
424,4,36047020500.0,51,BK64,60463.0
425,4,36047020700.0,41,BK64,60463.0
426,4,36047020800.0,1,BK30,60463.0
427,4,36047021100.0,7,BK68,60463.0
428,4,36047021300.0,8,BK63,60463.0
429,4,36047021500.0,22,BK64,60463.0
430,4,36047021700.0,7,BK61,60463.0
431,4,36047021800.0,1,BK88,60463.0
432,4,36047021900.0,16,BK61,60463.0
433,4,36047022000.0,1,BK88,60463.0
434,4,36047022100.0,24,BK61,60463.0
435,4,36047022700.0,30,BK69,60463.0
436,4,36047022800.0,1,BK88,60463.0
437,4,36047022900.0,38,BK69,60463.0
438,4,36047023000.0,2,BK88,60463.0
439,4,36047023100.0,59,BK69,60463.0
440,4,36047023200.0,1,BK88,60463.0
441,4,36047023300.0,49,BK75,60463.0
442,4,36047023500.0,16,BK69,60463.0
443,4,36047024100.0,43,BK75,60463.0
444,4,36047024300.0,20,BK75,60463.0
445,4,36047024500.0,22,BK75,60463.0
446,4,36047024700.0,11,BK61,60463.0
447,4,36047024900.0,26,BK75,60463.0
448,4,36047025000.0,1,BK28,60463.0
449,4,36047025100.0,8,BK75,60463.0
450,4,36047025200.0,1,BK28,60463.0
451,4,36047025300.0,8,BK75,60463.0
452,4,36047025500.0,5,BK75,60463.0
453,4,36047025700.0,6,BK75,60463.0
454,4,36047025901.0,3,BK75,60463.0
455,4,36047025902.0,4,BK75,60463.0
456,4,36047026000.0,1,BK28,60463.0
457,4,36047026100.0,40,BK75,60463.0
458,4,36047026200.0,2,BK28,60463.0
459,4,36047026300.0,2,BK75,60463.0
460,4,36047026500.0,11,BK75,60463.0
461,4,36047026700.0,8,BK75,60463.0
462,4,36047026900.0,12,BK75,60463.0
463,4,36047027100.0,4,BK61,60463.0
464,4,36047027300.0,10,BK35,60463.0
465,4,36047027500.0,11,BK35,60463.0
466,4,36047027600.0,2,BK28,60463.0
467,4,36047027700.0,5,BK35,60463.0
468,4,36047027800.0,1,BK28,60463.0
469,4,36047027900.0,12,BK35,60463.0
470,4,36047028000.0,1,BK27,60463.0
471,4,36047028100.0,8,BK35,60463.0
472,4,36047028300.0,12,BK35,60463.0
473,4,36047028400.0,1,BK28,60463.0
474,4,36047028501.0,11,BK78,60463.0
475,4,36047028502.0,7,BK35,60463.0
476,4,36047028700.0,9,BK35,60463.0
477,4,36047028900.0,13,BK35,60463.0
478,4,36047029000.0,1,BK28,60463.0
479,4,36047029100.0,15,BK35,60463.0
480,4,36047029300.0,10,BK35,60463.0
481,4,36047029400.0,1,BK28,60463.0
482,4,36047029500.0,15,BK35,60463.0
483,4,36047029600.0,2,BK28,60463.0
484,4,36047029700.0,14,BK61,60463.0
485,4,36047029800.0,1,BK29,60463.0
486,4,36047030300.0,1,BK79,60463.0
487,4,36047030500.0,40,BK61,60463.0
488,4,36047030700.0,1,BK61,60463.0
489,4,36047030900.0,2,BK61,60463.0
490,4,36047031100.0,5,BK61,60463.0
491,4,36047031300.0,14,BK61,60463.0
492,4,36047031500.0,19,BK61,60463.0
493,4,36047031701.0,22,BK61,60463.0
494,4,36047031702.0,20,BK61,60463.0
495,4,36047031900.0,5,BK63,60463.0
496,4,36047032100.0,7,BK63,60463.0
497,4,36047032300.0,4,BK63,60463.0
498,4,36047032500.0,4,BK63,60463.0
499,4,36047032700.0,7,BK60,60463.0
500,4,36047032900.0,7,BK60,60463.0
501,4,36047033100.0,5,BK63,60463.0
502,4,36047033300.0,3,BK63,60463.0
503,4,36047033500.0,8,BK63,60463.0
504,4,36047033700.0,5,BK61,60463.0
505,4,36047033900.0,2,BK61,60463.0
506,4,36047034100.0,6,BK61,60463.0
507,4,36047034300.0,3,BK61,60463.0
508,4,36047034500.0,2,BK61,60463.0
509,4,36047034700.0,9,BK61,60463.0
510,4,36047034800.0,1,BK21,60463.0
511,4,36047034900.0,5,BK61,60463.0
512,4,36047035100.0,4,BK61,60463.0
513,4,36047035300.0,3,BK61,60463.0
514,4,36047035400.0,2,BK23,60463.0
515,4,36047035601.0,1,BK23,60463.0
516,4,36047035700.0,8,BK61,60463.0
517,4,36047035900.0,2,BK61,60463.0
518,4,36047036001.0,1,BK19,60463.0
519,4,36047036100.0,1,BK79,60463.0
520,4,36047036300.0,3,BK79,60463.0
521,4,36047036501.0,2,BK79,60463.0
522,4,36047036502.0,1,BK79,60463.0
523,4,36047036600.0,11,BK19,60463.0
524,4,36047036700.0,1,BK79,60463.0
525,4,36047036900.0,3,BK79,60463.0
526,4,36047037100.0,1,BK79,60463.0
527,4,36047037300.0,2,BK79,60463.0
528,4,36047037402.0,1,BK26,60463.0
529,4,36047037500.0,10,BK35,60463.0
530,4,36047037700.0,8,BK35,60463.0
531,4,36047037900.0,3,BK35,60463.0
532,4,36047038100.0,2,BK61,60463.0
533,4,36047038200.0,1,BK26,60463.0
534,4,36047038300.0,9,BK35,60463.0
535,4,36047038500.0,3,BK35,60463.0
536,4,36047038600.0,1,BK26,60463.0
537,4,36047038700.0,3,BK35,60463.0
538,4,36047038900.0,7,BK78,60463.0
539,4,36047039000.0,1,BK25,60463.0
540,4,36047039100.0,25,BK78,60463.0
541,4,36047039300.0,10,BK78,60463.0
542,4,36047039400.0,3,BK25,60463.0
543,4,36047039500.0,8,BK78,60463.0
544,4,36047039600.0,20,BK25,60463.0
545,4,36047039700.0,11,BK78,60463.0
546,4,36047039900.0,11,BK78,60463.0
547,4,36047040000.0,2,BK29,60463.0
548,4,36047040100.0,5,BK78,60463.0
549,4,36047040300.0,3,BK78,60463.0
550,4,36047040500.0,1,BK78,60463.0
551,4,36047040600.0,1,BK29,60463.0
552,4,36047040900.0,1,BK77,60463.0
553,4,36047041100.0,2,BK78,60463.0
554,4,36047041300.0,4,BK78,60463.0
555,4,36047041401.0,11,BK25,60463.0
556,4,36047041402.0,11,BK25,60463.0
557,4,36047041500.0,1,BK78,60463.0
558,4,36047041600.0,2,BK25,60463.0
559,4,36047041700.0,1,BK78,60463.0
560,4,36047041800.0,2,BK25,60463.0
561,4,36047041900.0,8,BK78,60463.0
562,4,36047042100.0,9,BK78,60463.0
563,4,36047042200.0,5,BK25,60463.0
564,4,36047042300.0,12,BK78,60463.0
565,4,36047042500.0,7,BK78,60463.0
566,4,36047042700.0,16,BK77,60463.0
567,4,36047042800.0,1,BK29,60463.0
568,4,36047042900.0,11,BK77,60463.0
569,4,36047043100.0,11,BK77,60463.0
570,4,36047043200.0,2,BK29,60463.0
571,4,36047043300.0,5,BK77,60463.0
572,4,36047043500.0,5,BK77,60463.0
573,4,36047043600.0,1,BK29,60463.0
574,4,36047043700.0,5,BK77,60463.0
575,4,36047043800.0,1,BK46,60463.0
576,4,36047043900.0,6,BK77,60463.0
577,4,36047044000.0,6,BK46,60463.0
578,4,36047044100.0,5,BK77,60463.0
579,4,36047044200.0,1,BK46,60463.0
580,4,36047044300.0,13,BK77,60463.0
581,4,36047044400.0,4,BK46,60463.0
582,4,36047044500.0,5,BK77,60463.0
583,4,36047044700.0,7,BK77,60463.0
584,4,36047044800.0,1,BK46,60463.0
585,4,36047044900.0,22,BK90,60463.0
586,4,36047045200.0,12,BK46,60463.0
587,4,36047045300.0,10,BK77,60463.0
588,4,36047045400.0,2,BK46,60463.0
589,4,36047045600.0,1,BK43,60463.0
590,4,36047045800.0,16,BK43,60463.0
591,4,36047046000.0,1,BK42,60463.0
592,4,36047046201.0,2,BK42,60463.0
593,4,36047046202.0,1,BK46,60463.0
594,4,36047047400.0,1,BK88,60463.0
595,4,36047047600.0,1,BK88,60463.0
596,4,36047047700.0,58,BK90,60463.0
597,4,36047047800.0,2,BK88,60463.0
598,4,36047048000.0,1,BK42,60463.0
599,4,36047048100.0,30,BK90,60463.0
600,4,36047048200.0,3,BK42,60463.0
601,4,36047048400.0,5,BK41,60463.0
602,4,36047048500.0,28,BK78,60463.0
603,4,36047048600.0,1,BK41,60463.0
604,4,36047048800.0,3,BK41,60463.0
605,4,36047049000.0,3,BK41,60463.0
606,4,36047049100.0,22,BK90,60463.0
607,4,36047049200.0,10,BK41,60463.0
608,4,36047049300.0,38,BK78,60463.0
609,4,36047049400.0,9,BK41,60463.0
610,4,36047049500.0,51,BK90,60463.0
611,4,36047049600.0,5,BK41,60463.0
612,4,36047049700.0,58,BK90,60463.0
613,4,36047049800.0,5,BK41,60463.0
614,4,36047049900.0,26,BK76,60463.0
615,4,36047050000.0,18,BK40,60463.0
616,4,36047050100.0,35,BK90,60463.0
617,4,36047050202.0,8,BK40,60463.0
618,4,36047050300.0,16,BK90,60463.0
619,4,36047050400.0,9,BK40,60463.0
620,4,36047050500.0,25,BK90,60463.0
621,4,36047050600.0,7,BK42,60463.0
622,4,36047050700.0,7,BK75,60463.0
623,4,36047050801.0,2,BK42,60463.0
624,4,36047050803.0,3,BK42,60463.0
625,4,36047050804.0,7,BK42,60463.0
626,4,36047050900.0,4,BK72,60463.0
627,4,36047051001.0,4,BK42,60463.0
628,4,36047051002.0,3,BK42,60463.0
629,4,36047051100.0,55,BK90,60463.0
630,4,36047051200.0,1,BK42,60463.0
631,4,36047051300.0,84,BK73,60463.0
632,4,36047051400.0,13,BK42,60463.0
633,4,36047051500.0,57,BK73,60463.0
634,4,36047051601.0,1,BK42,60463.0
635,4,36047051602.0,2,BK42,60463.0
636,4,36047051700.0,116,BK73,60463.0
637,4,36047051900.0,138,BK73,60463.0
638,4,36047052000.0,1,BK42,60463.0
639,4,36047052300.0,47,BK73,60463.0
640,4,36047052500.0,6,BK73,60463.0
641,4,36047052600.0,2,BK42,60463.0
642,4,36047052700.0,25,BK73,60463.0
643,4,36047052900.0,4,BK72,60463.0
644,4,36047053100.0,4,BK75,60463.0
645,4,36047053200.0,2,BK43,60463.0
646,4,36047053300.0,3,BK72,60463.0
647,4,36047053500.0,5,BK72,60463.0
648,4,36047053700.0,5,BK72,60463.0
649,4,36047053800.0,1,BK43,60463.0
650,4,36047054200.0,8,BK43,60463.0
651,4,36047054300.0,21,BK99,60463.0
652,4,36047054400.0,7,BK43,60463.0
653,4,36047054500.0,1,BK72,60463.0
654,4,36047054600.0,3,BK43,60463.0
655,4,36047054700.0,22,BK73,60463.0
656,4,36047054900.0,186,BK73,60463.0
657,4,36047055000.0,2,BK44,60463.0
658,4,36047055100.0,85,BK73,60463.0
659,4,36047055200.0,3,BK44,60463.0
