,GEOID,GEO.display-label,tot_educ,educ_0,educ_1,educ_2,educ_3,educ_4,educ_5,educ_6,educ_7,educ_8,educ_9,educ_10,educ_11,educ_12,educ_13,educ_13.5,educ_14,educ_14.5,educ_15,educ_16,educ_18,educ_20,educ_23,reduc_0,reduc_1,reduc_2,reduc_3,reduc_4,reduc_5,reduc_6,reduc_7,reduc_8,reduc_9,reduc_10,reduc_11,reduc_12,reduc_13,reduc_13.5,reduc_14,reduc_14.5,reduc_15,reduc_16,reduc_18,reduc_20,reduc_23,NTACode
40,36005006800,"Census Tract 68, Bronx County, New York",1960,83,0,0,0,0,16,36,65,17,8,14,150,63,67,32,672,67,297,192,156,25,0,0.0423469387755,0.0,0.0,0.0,0.0,0.00816326530612,0.0183673469388,0.0331632653061,0.00867346938776,0.00408163265306,0.00714285714286,0.0765306122449,0.0321428571429,0.0341836734694,0.0163265306122,0.342857142857,0.0341836734694,0.151530612245,0.0979591836735,0.0795918367347,0.0127551020408,0.0,BX55
41,36005006900,"Census Tract 69, Bronx County, New York",4049,103,13,0,17,84,0,129,80,239,41,321,111,195,392,65,732,195,685,202,360,85,0,0.0254383798469,0.00321066930106,0.0,0.00419856754754,0.0207458631761,0.0,0.031859718449,0.0197579649296,0.0590269202272,0.0101259570264,0.0792788342801,0.0274141763398,0.0481600395159,0.0968140281551,0.0160533465053,0.180785379106,0.0481600395159,0.16917757471,0.0498888614473,0.0889108421833,0.0209928377377,0.0,BX34
42,36005007000,"Census Tract 70, Bronx County, New York",2685,94,0,0,27,15,9,0,45,147,0,112,126,167,153,162,724,78,410,98,282,36,0,0.035009310987,0.0,0.0,0.0100558659218,0.00558659217877,0.00335195530726,0.0,0.0167597765363,0.054748603352,0.0,0.0417132216015,0.0469273743017,0.0621973929236,0.0569832402235,0.0603351955307,0.269646182495,0.0290502793296,0.15270018622,0.0364990689013,0.105027932961,0.0134078212291,0.0,BX55
43,36005007100,"Census Tract 71, Bronx County, New York",1352,41,6,0,0,3,7,12,0,34,3,42,64,39,65,77,426,71,166,57,188,51,0,0.030325443787,0.00443786982249,0.0,0.0,0.00221893491124,0.0051775147929,0.00887573964497,0.0,0.0251479289941,0.00221893491124,0.0310650887574,0.0473372781065,0.0288461538462,0.0480769230769,0.0569526627219,0.315088757396,0.0525147928994,0.122781065089,0.0421597633136,0.139053254438,0.0377218934911,0.0,BX34
44,36005007200,"Census Tract 72, Bronx County, New York",3479,177,0,0,0,63,54,120,11,18,88,46,199,86,152,213,945,50,376,168,442,271,0,0.0508766887037,0.0,0.0,0.0,0.0181086519115,0.0155217016384,0.0344926703076,0.00316182811153,0.00517390054613,0.0252946248922,0.0132221902846,0.0572003449267,0.0247197470538,0.0436907157229,0.0612244897959,0.271629778672,0.0143719459615,0.10807703363,0.0482897384306,0.1270480023,0.0778959471112,0.0,BX55
45,36005007300,"Census Tract 73, Bronx County, New York",2049,36,0,22,23,10,33,28,16,114,118,63,38,135,174,142,365,102,342,175,113,0,0,0.0175695461201,0.0,0.0107369448511,0.0112249877989,0.00488042947779,0.0161054172767,0.0136652025378,0.00780868716447,0.0556368960469,0.057589067838,0.0307467057101,0.0185456320156,0.0658857979502,0.0849194729136,0.0693020985847,0.178135675939,0.0497803806735,0.166910688141,0.0854075158614,0.0551488530991,0.0,0.0,BX34
46,36005007400,"Census Tract 74, Bronx County, New York",2592,124,0,0,0,0,43,0,0,49,11,72,39,26,92,78,779,43,437,297,383,107,12,0.0478395061728,0.0,0.0,0.0,0.0,0.0165895061728,0.0,0.0,0.0189043209877,0.00424382716049,0.0277777777778,0.0150462962963,0.0100308641975,0.0354938271605,0.0300925925926,0.300540123457,0.0165895061728,0.168595679012,0.114583333333,0.147762345679,0.0412808641975,0.00462962962963,BX09
47,36005007500,"Census Tract 75, Bronx County, New York",2659,93,0,0,0,49,9,35,0,121,12,158,93,130,190,93,796,105,293,88,254,140,0,0.0349755547198,0.0,0.0,0.0,0.0184279804438,0.00338473110192,0.0131628431741,0.0,0.0455058292591,0.00451297480256,0.0594208349003,0.0349755547198,0.048890560361,0.0714554343738,0.0349755547198,0.299360661903,0.0394885295224,0.110191801429,0.0330951485521,0.0955246333208,0.0526513726965,0.0,BX34
48,36005007600,"Census Tract 76, Bronx County, New York",3519,161,0,0,0,14,17,9,138,286,25,75,195,105,112,146,980,44,413,281,336,173,9,0.0457516339869,0.0,0.0,0.0,0.00397840295539,0.0048309178744,0.00255754475703,0.0392156862745,0.0812730889457,0.00710429099176,0.0213128729753,0.0554134697357,0.0298380221654,0.0318272236431,0.0414890593919,0.278488206877,0.0125035521455,0.117362887184,0.0798522307474,0.0954816709292,0.049161693663,0.00255754475703,BX08
49,36005007700,"Census Tract 77, Bronx County, New York",1058,49,7,0,42,0,10,7,0,24,0,32,85,29,85,11,185,27,209,91,118,47,0,0.0463137996219,0.00661625708885,0.0,0.0396975425331,0.0,0.00945179584121,0.00661625708885,0.0,0.0226843100189,0.0,0.0302457466919,0.0803402646503,0.0274102079395,0.0803402646503,0.0103969754253,0.174858223062,0.0255198487713,0.197542533081,0.086011342155,0.111531190926,0.0444234404537,0.0,BX34
